"Date","Source Files","Statements","Lines","Comment Lines","Documentation Lines","Data Files","Data Bytes","User","Note"
27-Jul-2013 18:23,2,123,302,27,2,0,0,"morgan",""
19-Aug-2013 18:16,2,98,211,16,0,0,0,"morgan",""
05-Jan-2014 19:42,2,86,179,8,0,0,0,"morgan",""
19-Jan-2014 22:55,2,86,179,8,0,0,0,"morgan",""
09-Feb-2014 18:03,2,91,191,8,0,0,0,"michaelmara",""
01-Sep-2014 18:29,6,890,2160,68,214,23,4040043,"michaelmara",58,5,"58"
02-Sep-2014 09:49,6,890,2160,68,214,23,4053975,"michaelmara",58,5,"58"
