Date,Source Files,Statements,Lines,Comment Lines,Documentation Lines,Data Files,Data Bytes,User,Routines,Classes
19-Sep-2015 05:26,4,14335,39221,2879,0,0,0,morgan,337,0
19-Sep-2015 05:58,4,14335,39221,2879,0,0,0,morgan,337,0
19-Sep-2015 14:19,4,14335,39221,2879,0,0,0,morgan,337,0
20-Sep-2015 13:50,4,14335,39221,2879,0,0,0,morgan,337,0
20-Sep-2015 16:56,4,14335,39221,2879,0,0,0,morgan,337,0
20-Sep-2015 19:10,4,14335,39221,2879,0,0,0,morgan,337,0
20-Sep-2015 19:40,4,14335,39221,2879,0,0,0,morgan,337,0
20-Sep-2015 20:14,4,14335,39221,2879,0,0,0,morgan,337,0
20-Sep-2015 20:43,4,14335,39221,2879,0,0,0,morgan,337,0
21-Sep-2015 19:41,4,14335,39221,2879,0,0,0,morgan,337,0
22-Sep-2015 16:23,4,14335,39221,2879,0,0,0,morgan,337,0
24-Sep-2015 15:15,4,14335,39221,2879,0,0,0,morgan,337,0
24-Sep-2015 16:49,4,14335,39221,2879,0,0,0,morgan,337,0
27-Sep-2015 20:11,4,14335,39221,2879,0,0,0,morgan,337,0
27-Sep-2015 22:23,4,14335,39221,2879,0,0,0,morgan,337,0
27-Sep-2015 22:56,4,14335,39221,2879,0,0,0,morgan,337,0
28-Sep-2015 08:07,4,14335,39221,2879,0,0,0,morgan,337,0
28-Sep-2015 08:26,4,14335,39221,2879,0,0,0,morgan,337,0
28-Sep-2015 12:07,4,14335,39221,2879,0,0,0,morgan,337,0
28-Sep-2015 12:09,4,14335,39221,2879,0,0,0,morgan,337,0
28-Sep-2015 19:47,4,14335,39221,2879,0,0,0,morgan,337,0
01-Oct-2015 11:27,4,14335,39221,2879,0,0,0,morgan,337,0
03-Oct-2015 16:43,4,14335,39221,2879,0,0,0,morgan,337,0
08-Oct-2015 19:39,4,14335,39221,2879,0,0,0,morgan,337,0
08-Oct-2015 20:02,4,14335,39221,2879,0,0,0,morgan,337,0
19-Oct-2015 13:03,4,14335,39221,2879,0,0,0,morgan,337,0
19-Oct-2015 13:25,4,14335,39221,2879,0,0,0,morgan,337,0
19-Oct-2015 14:03,4,14335,39221,2879,0,0,0,morgan,337,0
25-Oct-2015 19:16,4,14335,39221,2879,0,0,0,morgan,337,0
27-Oct-2015 20:16,4,14335,39221,2879,0,0,0,morgan,337,0
10-Nov-2015 11:00,4,14335,39221,2879,0,0,0,morgan,337,0
